
hre,vietnamese
Atiq ca aih,sau đó
Aih,đó
Dhâng toc,đang lên, hướng đi lên
Dhâng dhâc,hướng đi lên
Dhâng loh,đang xuống, hướng đi xuống
Xi uông,sinh đẻ
Xa uông,Khó đẻ
Ha uông,sinh đẻ
Gông wăng,núi, vùng núi, miền quê
Hlây,Về, lại (sự trở lại)
Vruâc,Về, lại (sự trở lại)
'Mâng aih,như thế, như vậy đó, cũng vậy, như vậy
'Mâng ê,vậy, vì lẽ đó
'Mâng kô,thế này
'Mâng meh,thế nọ, thế đó
'Mâng tau,thế kia
'Mâng ti,như trên
'Mâng ti,như dưới
'Mâng lêq,như thế nào, ra sao
'Mau,Lúa
'Mau ruông,Lúa ruộng
'Mau jêch,Lúa rẫy
'Mau nêp,lúa nếp, lúa dẻo
'Mêq,Xấu  
'Mêq’muông,Xấu, trắc trở
'Mêq’mân,xấu tệ, chán ngán
'Moc,cửa sổ
'Mu,ảnh, bóng, hình
Mu,chiếc khăn
'Mua,dơ bẩn
A’mua,dơ bẩn, mất vệ sinh
Mơt,vào
'Nah,phía, hướng, bên
'Nâng,Thật
'Đang,đang
'Đang cui,Đang ngủ
'Ne,giữa, một nửa
Ta’ne,chính giữa, trung tâm
'Ne mang,Nửa đêm
'Ngah,sáng
Pả,bên
'Ngeo,Trái
Ha ngeo,Lạnh, nguội
'Nhăc cadhôi’mâng aih,dù nói vậy, tuy nhiên, tuy vậy
'Nhah,Vỏ
Nhang,căng
'Nhiu,Rửa
'Nhêq,trên cao
'Nhơq,Chưa
'Nhơq y dhoa,Chưa hình thành, chưa có vẻ
'Nhroh,Xúc (cá)
'Noh,đưa ra 
'Noi hlây,nói lại
Ao noi hlây,Tôi nhắc lại
'Noi crây,Khác, nói riêng
'Rang,Sức chịu đựng
'Yêq,Gần
'Yoh,Nhỏ
A 'rôi cô,Trước đây
Adrôi,Trước
droi,trước
A tyq,sau
A gen,dựa, dựa vào
A pô,giấc mơ, chiêm bao
A xăn,săn (đi săn thú rừng)
A xoang,chia
A lah,tách ra
Ta lah,tách ra, rời ra
'Rech,Giống  
Cang,bờ, ranh giới
Achuq,Chạm đụng vào
A’râc,Rủ rê
'Roong,Đót
Ê,đấy, thế
khen,mời mọc (đến nhà mời)
Alac,Rượu
Alacq ka’roh,Rượu cần
Am ,Cho
Am loq ,cho biết
Am dha vao loq,truyền cho nhau biết
Ing ut,Bìm bịp
Ha’ngui,Ngồi
Ao,tôi
Pêt,Trồng trọt
Penh,bắn
Apenh,sự săn bắn
Drâng,đưa, đem tới
Axrâm,tập, tập tành
Atât,ngừng, dừng, ngừng nghỉ
Atât mê,Ngừng mưa
Atêh,âm thanh, tiếng đông
Atiq,Sau
Atiq’êh,mai sau, sau này
Atiq ca aih,Sau đó
Avanh,chăn nuôi
Avêq caq,lao động
Avroq caq,làm ăn
Ca vô aih,Ai đó
Ca vô,âi
Axai,câu
Axai ca,câu cá
Va,Chúng mình ( 2 người)
Bao,ao, hồ
Bây,Các, những, bầy, lũ, bọn, đàn, (các vị...)
Bây kan kiêc,các vị thần linh
Bê,Mặt, bề, bên, phía, hướng
Beng ,Bánh
Beng nêp,Bánh nếp
Bênh,bệnh (như tiếng việt)
Bêu,Beo, báo
Biaq ngai,Ít người, thiểu số
Biaq,Ít
Pli biq,quả bí
Loq,biết
Ta blêq,thắng, thắng lợi
Blêq bling,mạnh mẽ, thắng lợi
Con bo,con bò/bò con
Bôp,Bắp ngô
Bôp ''mau uh wia,ngô lúa mất mùa
Poa,cơm
Yneq vroq,việc làm
Ca văn,cá nuôi
Ca dheac,Cá sông
Ca kroh,Cá khô
Tê,To lớn
Chiq,rau
Chiq caq,Rau ăn
Ca đac,bỏ đi
Caiq,To lớn
Cân,lớn, to, cao
Cala,Tre
Cân ca waq ,cần dùng,sử dụng
Can Kiêc,Thần linh
Căn pa'rong,Giàu có
Cani,con chuột
Cao,chặt, đốn
Cua,Cưa
Cua loang,cưa cây
Capơ,Trâu
Cap,cắn
Caq,Ăn
Caq dheng,Ăn tết
Caq mêch,ăn no, ngán
Caq panâc,Ăn no
Caq’mau neo,cơm mới
Câyq’mau ruông,cấy lúa nước
Chac hatôq,mình ấm (thân thể ấm)
Ta châm,Kia (dưới thấp)
Chao dhaq,Chao anh, chào chị
Chao yaq,Chào bà
Chao voac,Chào ông
Chaq,tìm, kiếm
chaq loh,tìm ra, kiếm ra
Chaq hnoq,tìm thấy
Chê tu,che phủ, tủ
Chea,chồn cheo
Chêm ,chêm, nhét vào
Chêo,cháy
Cheo cui,chiếu ngủ
Chea,Đào
Chich,chát (vị chát)
Chin,chín(nấu chín)
Ching,chiêng
Ching dhuinh,chiêng cổ
Choâng,rìu 
Chôi,Tỉa
Chui,cái chổi quét
Chôp,Các người (2 người)
Chu iêuq,chủ yếu
Chua,Heo
Claih,thoát, xong
Cleac clêm,(ruột, gan) ruột ,thịt
Cloih,cái mông (phía sau đuôi)
Cloong,ống, hũ (đèn), cái lư hương
Tloong,nhảy (để vượt qua)
Hnây,dạy, hướng dẫn
Cô,này, đây
Coh,Chặt, đốn
Cat,cắt
Cơi,Triền dốc, thác
Con ta moi,Người dân tộc
Ta moi,khách
Con gông,người miền núi
Coq ra nhua,chó điên
Craq hnim,người chủ gia đình
Hnim,nhà
Crây,khác, riêng biệt
Crây cra ,khác ,khác hẳn, khác biệt
Crêu,kêu
Ca tô,kêu, hót (chim)
Croh creng,Khô khốc
Croong,bề mặt, lưng
Enh crong,phía lưng
Dhêh,Mạnh
Dhavao,Với nhau
Dhu,Dù, cái ô (ác, dữ, hung)
'Đang lem,vừa, vừa vặn
Jêch,Rẫy
Jêq,gần
Haten,Gần  
Đêq,Ngắn, lùn, thấp
Đêu ca vroq,đều làm
Ca dhê,cây trảy, trúc
Ha dhêh,Khỏe mạnh
Dha gruông,rộn ràng, ồn ào
Dha hlơm,chiếm tỉ lệ/ chiếm vượt, quá, vượt
Dha huiq,gấp gáp, khẩn trương, hối hả
Dha hum,tắm rửa
Hum dheac,tắm rửa, tắm nước
Dha xrup,chung tay, xông xáo
Dha janh,mướp
Ra măng,ban đêm
Xôi,Xoài
Vâc’bê,nhiều lĩnh vực, nhiều phía
Ra xêq,buổi tối
Ra xich,dịch chuyển, chuyển động, xê dịch
Ra xroq ,buổi sáng
Xroq,buổi sáng
Troang vêq kaq,quá trình làm ăn, cuộc sống
Dhaiq dhâng,đồng đều, bằng nhau
Dhâng dhêh,mạnh lên
Đăng dhêh,đang mạnh lên
Dhâng tac,Đang đi lên, phát triển
Dhâng zua,hướng đi xuống
Dhâng loh,hướng đi xuống, đang ra
Dhaq,Anh, chị
Dhaq oh,anh em 
Dha rênh,Nhanh nhẹn
Dhăt đăc,dập tắt, ngăn chặn
Tât đăc,dập tắt, ngăn chặn
Păt đăc,dập tắt, ngăn chặn
Dhâu,dầu (thắp, đốt)
Dhea dhe,từ từ, dần dần, chậm
Adhea ,chậm chậm
Dheac,nước
Dheac chê,Nước chè
Dheac kruâng,Nước sông
Dheac mê,nước mưa
Dheac ngim,nước ngọt
Dheac rasiq,biển, nước biển
Dheac wi,nước ngoài
Dheac gông wi,nước ngoài, nước xứ người
Dheac xut,Mật ong
Dheac ''yoh,suối nhỏ
Dheac con,con suối
Dhêch tooc,Nâng lên, đỡ lên, vực dậy
Dhêch,nâng, đỡ dậy, vớt lên
Dhêh,mạnh
Dhêh xrôh,mạnh, xiết (chảy mạnh, xiết), đổ xuống
Thui,Thổi
Đoh,nổ
Dhêh ja,mạnh lắm, quá mạnh
Dhêh dhing,mạnh mẽ
Dhênh,Tết
Dhênh pêt loang,Tết trồng cây
Phi,Gạo
Dhi jaq dhi tai,hết sức kiệt xuất, xuất sắc
Dhi wia,cũng được
Vu wia,tạm được
Điên,điện
Dhiq,hết
Dhiq đêu,đều, hầu hết đều
Dhiq dhoong ,tất cả, toàn bộ, hết thảy
Dhiq zăq,hết lòng, tận lòng
Dho,cười/ chấp nhận (nhận làm việc gì...)
'Mrim dho,mỉm cười
Xich,chuyển
Toâng,khiêng
Dhoi,nói
Dhooc,khỉ
Đoc,đọc
Xoong dhiq,Xong, hết
Dhoong,dọn dẹp
Lơiq,để
Dha u,dừa
Dhuinh,Lâu, cũ
Dhuinh dhênh,lâu đời, xa xưa, quá cũ xưa
Dhuinh ja,lâu (lâu lắm)
Dhuinh hrin,lâu ( dùng hluinh là khi so với thời gian, sự kiện)
Dhuinh,lâu (lâu lắm)
Dhuinh dhi zaq,rất lâu đời
Dhuyt,Cô, chú , cậu, mợ, dượng, dì
Dhwinh đơi,lâu đời
Jơ aih,lúc đó, giờ đó, lúc ấy
Zôi,giỏi
Moiq đơi, moiq tôi,suốt đời, cả một đời
